,avg_credit_limit,total_credit_cards,total_visits_bank,total_visits_online,total_calls_made,cluster_label,recency,frequency,r_rank_norm,f_rank_norm,m_rank_norm,rfm_score,rfm_segment
0,100000.0,2,1,1.0,0,1,10,2.0,100.0,1.0015408320493067,96.66666666666667,3.5190215716486906,Average Credit Customers
1,50000.0,3,0,8.5,9,0,10,17.5,100.0,100.0,78.4920634920635,4.38702380952381,High Credit Customers
2,50000.0,7,1,3.0,4,1,10,8.0,100.0,47.996918335901384,78.4920634920635,3.658980666226429,Average Credit Customers
3,30000.0,5,1,1.0,4,1,10,6.0,100.0,24.499229583975346,63.57142857142857,2.904774928461369, Low Credit Customers
4,100000.0,6,0,8.5,3,2,10,11.5,100.0,83.20493066255779,96.66666666666667,4.669869029275809,High Credit Customers
5,20000.0,3,0,1.0,8,0,10,9.0,100.0,59.32203389830508,58.96825396825397,3.2611037126715092,Average Credit Customers
6,100000.0,5,0,8.5,2,2,10,10.5,100.0,76.11710323574731,96.66666666666667,4.570639445300462,High Credit Customers
7,15000.0,3,0,1.0,1,0,10,2.0,100.0,1.0015408320493067,41.269841269841265,1.9402120478391662, Low Credit Customers
8,5000.0,2,0,2.0,2,0,10,4.0,100.0,7.395993836671804,1.8253968253968256,0.9055677232372148, Low Credit Customers
9,3000.0,4,0,1.0,7,0,10,8.0,100.0,47.996918335901384,0.15873015873015872,1.426480666226429, Low Credit Customers
10,10000.0,4,0,5.0,5,0,10,10.0,100.0,70.18489984591679,23.333333333333332,2.397588597842835, Low Credit Customers
11,13000.0,3,0,2.0,7,0,10,9.0,100.0,59.32203389830508,34.04761904761905,2.5508656174334146, Low Credit Customers
12,11000.0,1,2,5.0,9,0,10,16.0,100.0,99.38366718027734,27.22222222222222,2.9172046738572166, Low Credit Customers
13,9000.0,1,1,5.0,6,0,10,12.0,100.0,85.97842835130972,19.20634920634921,2.501078949299289, Low Credit Customers
14,6000.0,2,2,4.0,6,0,10,12.0,100.0,85.97842835130972,5.7936507936507935,2.118817044537384, Low Credit Customers
15,8000.0,2,0,5.0,7,0,10,12.0,100.0,85.97842835130972,14.523809523809526,2.3676265683469078, Low Credit Customers
16,15000.0,2,1,2.0,4,0,10,7.0,100.0,36.132511556240374,41.269841269841265,2.4320456379778417, Low Credit Customers
17,8000.0,2,0,3.0,4,0,10,7.0,100.0,36.132511556240374,14.523809523809526,1.6697837332159366, Low Credit Customers
18,11000.0,2,2,2.0,7,0,10,11.0,100.0,79.66101694915254,27.22222222222222,2.641087570621469, Low Credit Customers
19,19000.0,4,1,5.0,8,0,10,14.0,100.0,94.29892141756548,55.31746031746032,3.6467325188935362,Average Credit Customers
20,5000.0,3,2,5.0,5,0,10,12.0,100.0,85.97842835130972,1.8253968253968256,2.005721806442146, Low Credit Customers
21,16000.0,2,0,3.0,7,0,10,10.0,100.0,70.18489984591679,44.36507936507936,2.9969933597475973, Low Credit Customers
22,6000.0,4,1,4.0,6,0,10,11.0,100.0,79.66101694915254,5.7936507936507935,2.030373284907183, Low Credit Customers
23,9000.0,1,1,3.0,4,0,10,8.0,100.0,47.996918335901384,19.20634920634921,1.969337809083572, Low Credit Customers
24,8000.0,2,0,2.0,10,0,10,12.0,100.0,85.97842835130972,14.523809523809526,2.3676265683469078, Low Credit Customers
25,18000.0,1,1,5.0,10,0,10,16.0,100.0,99.38366718027734,51.507936507936506,3.6093475310000738,Average Credit Customers
26,16000.0,3,0,5.0,9,0,10,14.0,100.0,94.29892141756548,44.36507936507936,3.334589661750679,Average Credit Customers
27,9000.0,2,2,2.0,10,0,10,14.0,100.0,94.29892141756548,19.20634920634921,2.6175658522268694, Low Credit Customers
28,5000.0,2,0,4.0,6,0,10,10.0,100.0,70.18489984591679,1.8253968253968256,1.784612407366645, Low Credit Customers
29,8000.0,4,0,4.0,7,0,10,11.0,100.0,79.66101694915254,14.523809523809526,2.279182808716707, Low Credit Customers
30,16000.0,3,1,5.0,4,0,10,10.0,100.0,70.18489984591679,44.36507936507936,2.9969933597475973, Low Credit Customers
